id;OriginalUrls;ShortenUrls;time;created_at;updated_at;deleted_at
43;https://localhost/lotfy/loginsystem_Copy/jobs/local/temp/28807051203034.pdf?expires=1703340303&signature=3226f6e672e9a5708cf50d9b2e034198e122c1fc99b8892690db8a8dc4236481;775895;30;2023-12-23 15:35:03;2023-12-23 15:35:03;
44;https://localhost/lotfy/loginsystem_Copy/jobs/local/temp/28807051203034-2.pdf?expires=1703340303&signature=ae22a45c78c9819eb2d560d37d68e83e2a6d9acb613e45f585653ceb3ee28c7b;86e792;30;2023-12-23 15:35:03;2023-12-23 15:35:03;
45;https://localhost/lotfy/loginsystem_Copy/jobs/local/temp/29901252937958.pdf?expires=1703341617&signature=5506f696c0368760d72a2b754ffbb2312b180304ba15573d6c035b8e7cc6b591;43959b;30;2023-12-23 15:56:57;2023-12-23 15:56:57;
